manufacturer_id,name
660,MOHINDRA ENGINEERING WORKS
661,MOMI ENGINEERING WORKS
662,MONTO MOTORS LTD.
663,MOPEDS INDIA LTD
664,MOTOROYALE KINETIC PRIVATE LIMITED
665,MSI INDUSTRIES
666,MUBHARAK GENERAL ENGG WORKS
667,MULGUND BROTHERS AGRO IND
668,MURALI KRISHNA AGRO INDUSTRIES
669,MUTHUR AGRO ENGINEERING WORKS
670,N S GIRIMAJI AND SONS
671,N.S. AGRO WORKS
672,N0VA AUTOMOTIVE TECHNOLOGIES PVT. LTD
673,NAAZ AUTO ENGG WORKS
674,NABHA AGRO WORKS
675,NADAF FAB AND ENGG WORKS
676,NAGUL SHARIEF ENGG WORKS
677,NAMAKKAL TRAILERS
678,NANDI ENGINEERING INDUSTRY
679,NANDI ENGINEERING WORKS
680,NANDI TRAILERS
681,NANDINI ENGINEERING WORKS
682,NATH AGRO IMPLEMENTS PVT LTD
683,NATIONAL AGRO.
684,NATIONAL ENGG WORKS
685,NATIONAL INDUSTRIES
686,NAVEEN AGRO
687,NAVEEN INDUSTRIES
688,NAYANA TRAILERS
689,NEELKANTH FABRICATORS
690,NETRAVATI AGRI EQUIPEMENTS
691,NEW BHARAT TRAILER
692,NEW DNYANRAJ TRAILORS
693,NEW FRIENDS INDUSTRIES
694,NEW GOLDEN AGRICULTURE
695,NEW HAJEE HATELI ENGG.WORKS
696,NEW HIND AGRO PVT LTD
697,NEW HOLLAND CONSTRUCTION EQUIPMENT(I) PVT.LTD.
698,NEW HOLLAND FIAT INDIA PVT. LTD.
699,NEW INDIA TRAILER
700,NEW KISAN ENGINEERING WORKS
701,NEW MALLIKARJUNA ENG WORKS
702,NEW MANJUNATHA WELDING WORKS
703,NEW PRAVEEN TRAILERS
704,NEW SANGMESHWAR TRAILORS & ENGINEERING WORKS
705,NEW SHAMA ENG WORKS
706,NEW SHRI NIWAS AGRO INDUSTRIES
707,NEW SUPER QUALITY TRAILOR
708,NEW SUPER STAR AGRO IND.
709,NEW TRIMURTY INDUSTRIES
710,NEW VIKAS AGRICULTURE
711,NEWTON INDIA INDUSTRIES PVT LTD
